Protivnik,Domacin,Golovi_dali,Golovi_primili,Udarci_na_gol,Udarci_ukupno,Posjed_posto,Dodavanja,Korneri,Rezultat,Bodovi,Razlika_golova,Efikasnost_posto
Luksemburg,BiH,3,0,8,14,52,412,6,W,3,3,57.1
Rumunija,Rumunija,0,3,3,7,38,298,2,L,0,-3,42.9
Kosovo,BiH,2,1,7,13,55,445,5,W,3,1,53.8
Svicarska,Svicarska,1,2,5,11,44,367,4,L,0,-1,45.5
Luksemburg,Luksemburg,3,1,9,15,58,478,7,W,3,2,60
Kosovo,Kosovo,1,1,5,10,50,389,4,D,1,0,50
Rumunija,BiH,2,0,8,14,54,432,6,W,3,2,57.1
Svicarska,BiH,2,2,7,13,48,401,5,D,1,0,53.8
Wales (PO),Wales,1,1,6,12,45,378,4,D*,1,0,50
Wales (PO),BiH,2,0,8,15,53,445,7,W,3,2,53.3
Italija (PO),BiH,1,0,7,13,51,423,5,D*,1,1,53.8
Italija (PO),Italija,1,1,6,12,46,389,4,D*,1,0,50
